id,vocab,vocab_pinyin,vocab_trans_vi,vocab_trans_en,example,example_pinyin,example_trans_vi,example_trans_en,level
224,逗,dòu,trêu,tease,他逗我玩。,Tā dòu wǒ wán.,Anh ấy trêu đùa tôi.,He teased me.,5
225,独立,dú lì,độc lập,independence,他们是一个独立的国家。,Tāmen shì yīgè dúlì de guójiā.,Họ là một quốc gia độc lập.,They are an independent country.,5
226,独特,dú tè,độc đáo,unique,这件衣服的设计很独特。,Zhè jiàn yīfú de shèjì hěn dútè.,Thiết kế của chiếc áo này rất độc đáo.,The design of this shirt is very unique.,5
227,度过,dù guò,"trải qua (thời kì, thời gian)","go through (period, time)",我们度过了一个愉快的假期。,Wǒmen dùguòle yīgè yúkuài de jiàqī.,Chúng tôi đã có một kỳ nghỉ vui vẻ.,We had a great vacation.,5
228,断,duàn,"đoạn, đứt",break,不断的奋斗就是走上成功之路。,Bùduàn de fèndòu jiùshì zǒu shàng chénggōng zhī lù.,không ngừng phấn đấ chính là con đường đi đến thành công.,Constant striving is the way to success.,5
229,堆,duī,đống,pile,桌子上堆满了书。,Zhuōzi shàng duī mǎnle shū.,Bàn đầy sách chất đống.,The table is full of books.,5
230,对比,duì bǐ,đối chiếu,compare,我们可以对比这两个方案。,Wǒmen kěyǐ duìbǐ zhè liǎng gè fāng'àn.,Chúng ta có thể so sánh hai phương án này.,We can compare these two options.,5
231,对待,duì dài,đối đãi,treat,对待每个人都要公平。,Duìdài měi gè rén dōu yào gōngpíng.,Cần phải đối xử công bằng với mọi người.,Everyone must be treated fairly.,5
232,对方,duì fāng,đối phương,enemy,对方的意见很有价值。,Duìfāng de yìjiàn hěn yǒu jiàzhí.,Ý kiến của bên kia rất có giá trị.,The other side's opinion is valuable.,5
233,对手,duì shǒu,đối thủ,competitor,他们是强大的对手。,Tāmen shì qiángdà de duìshǒu.,Họ là đối thủ mạnh mẽ.,They are strong opponents.,5
234,对象,duì xiàng,đối tượng,object,他的对象是一个演员。,Tā de duìxiàng shì yīgè yǎnyuán.,Đối tượng của anh ấy là một diễn viên.,His subject is an actor.,5
235,兑换,duì huàn,đổi,change,我们需要兑换外币。,Wǒmen xūyào duìhuàn wàibì.,Chúng ta cần đổi ngoại tệ.,We need to exchange currency.,5
236,吨,dūn,tấn,ton,这个箱子的重量是吨。,Zhège xiāngzi de zhòngliàng shì dūn.,Trọng lượng của chiếc hộp này là tấn.,The weight of this box is tons.,5
237,蹲,dūn,ngồi xổm,squat,我们在公园里蹲下休息。,Wǒmen zài gōngyuán lǐ dūnxià xiūxí.,Chúng tôi ngồi xổm nghỉ ngơi trong công viên.,We squatted down to rest in the park.,5
238,顿,dùn,bữa,meal,他吃了一顿丰盛的晚餐。,Tā chīle yī dùn fēngshèng de wǎncān.,Anh ấy đã ăn một bữa tối thịnh soạn.,He had a sumptuous dinner.,5
239,多亏,duō kuī,may mà,luckily,多亏有你的帮助，我们才能完成项目。,"Duōkuī yǒu nǐ de bāngzhù, wǒmen cái néng wánchéng xiàngmù.","may mà có sự giúp đỡ của bạn, chúng tôi mới có thể hoàn thành dự án.","Fortunately, with your help, we were able to complete the project.",5
240,多余,duō yú,thừa thãi,redundant,这个包有些多余的空间。,Zhège bāo yǒuxiē duōyú de kōngjiān.,Chiếc túi này có một ít không gian dư thừa.,This bag has a little extra space.,5
241,朵,duǒ,bông,cotton,她头上有一朵花。,Tā tóu shàng yǒu yī duǒ huā.,Cô ấy có một bông hoa trên đầu.,She has a flower on her head.,5
242,躲藏,duǒ cáng,trốn,hide,我们躲藏在树后面。,Wǒmen duǒcáng zài shù hòumiàn.,Chúng tôi ẩn nấp sau cây.,We hid behind the trees.,5
243,恶劣,è liè,"khắc nghiệt, hà khắc","harsh, harsh",这天气很恶劣。,Zhè tiānqì hěn èliè.,Thời tiết rất xấu.,The weather is very bad.,5
244,耳环,ěr huán,khuyên tai,earrings,她戴着一对漂亮的耳环。,Tā dàizhe yī duì piàoliang de ěrhuán.,Cô ấy đeo một đôi bông tai đẹp.,She is wearing a beautiful pair of earrings.,5
245,发表,fā biǎo,"phát biểu, đăng, ra mắt (tác phẩm)","to state, to publish, to launch (a work)",他们在会议上发表了讲话。,Tāmen zài huìyì shàng fābiǎole jiǎnghuà.,Họ đã phát biểu trong cuộc họp.,They spoke at the meeting.,5
246,发愁,fā chóu,"phát buồn, chán","sad, bored",他为自己的未来发愁。,Tā wèi zìjǐ de wèilái fāchóu.,Anh ấy lo lắng cho tương lai của mình.,He is worried about his future.,5
247,发达,fā dá,"phát đạt, phát triển","thrive, develop",发达的医疗体系能够为人们提供更好的医疗服务。,Fādá de yīliáo tǐxì nénggòu wéi rénmen tígōng gèng hǎo de yīliáo fúwù.,Một hệ thống y tế phát triển có thể cung cấp cho người dân những dịch vụ y tế tốt hơn.,A developed health system can provide people with better health services.,5
248,发抖,fā dǒu,run rẩy,shiver,她的手在发抖。,Tā de shǒu zài fā dǒu.,Tay cô ấy đang run.,Her hands are shaking.,5
249,发挥,fā huī,phát huy,develop,他的演讲发挥了最好的水平。,Tā de yǎnjiǎng fāhuīle zuì hǎo de shuǐpíng.,Bài phát biểu của anh ấy phát huy ở trình độ tốt nhất.,His speech was top notch.,5
250,发明,fā míng,phát minh,invented,这项发明非常有用。,Zhè xiàng fāmíng fēicháng yǒuyòng.,Phát minh này rất hữu ích.,This invention is very useful.,5
251,发票,fā piào,hóa đơn giá trị gia tăng,value added invoice,请把发票给我。,Qǐng bǎ fāpiào gěi wǒ.,Hãy đưa cho tôi hóa đơn.,Give me the bill.,5
252,发言,fā yán,phát biểu (ý kiến),statement,他在会议上发言了。,Tā zài huìyì shàng fāyánle.,Anh ấy đã phát biểu tại cuộc họp.,He spoke at the meeting.,5
253,罚款,fá kuǎn,phạt tiền,fine,他因为迟到被罚款了。,Tā yīnwèi chídào bèi fákuǎnle.,Anh ấy bị phạt tiền vì đến muộn.,He was fined for being late.,5
254,法院,fǎ yuàn,tòa án,court,这个案件已经提交到法院了。,Zhège ànjiàn yǐjīng tíjiāo dào fǎyuànle.,Vụ án này đã được nộp lên tòa án.,This case has been filed in court.,5
255,翻,fān,"lật, giở",flip,请把这些纸翻一下。,Qǐng bǎ zhèxiē zhǐ fān yīxià.,Hãy lật qua những tờ giấy này.,Flip through these papers.,5
256,繁荣,fán róng,phồn vinh,prosperity,这个城市的经济很繁荣。,Zhège chéngshì de jīngjì hěn fánróng.,Kinh tế của thành phố này rất phát đạt.,The economy of this city is very prosperous.,5
257,反而,fǎn ér,ngược lại,opposite,他反而喜欢待在家里。,Tā fǎn'ér xǐhuān dāi zài jiālǐ.,Anh ấy lại thích ở nhà hơn.,He prefers to stay at home.,5
258,反复,fǎn fù,lặp đi lặp lại,repeat,这句话要反复读几遍。,Zhè jù huà yào fǎnfù dú jǐ biàn.,Câu này cần đọc đi đọc lại vài lần.,This sentence needs to be read several times.,5
259,反应,fǎn yìng,phản ứng,react,他的反应很快。,Tā de fǎnyìng hěn kuài.,Phản ứng của anh ấy rất nhanh.,His response was very quick.,5
260,反映,fǎn yìng,phản ánh,reflect,梦会反映现实。,Mèng huì fǎnyìng xiànshí.,Giấc mơ phản ánh hiện thực.,Dreams reflect reality.,5
261,反正,fǎn zhèng,dù sao thì,anyway,反正我们要按时完成任务。,Fǎnzhèng wǒmen yào ànshí wánchéng rènwù.,Dù sao thì chúng ta cũng phải hoàn thành nhiệm vụ đúng hạn.,We have to complete the task on time anyway.,5
262,范围,fàn wéi,phạm vi,scope,这个问题的范围很广。,Zhège wèntí de fànwéi hěn guǎng.,Phạm vi của vấn đề này rất rộng.,The scope of this problem is very broad.,5
263,方,fāng,phương,direction,方形的玻璃窗非常美丽。,Fāngxíng de bōlí chuāng fēicháng měilì.,Cửa sổ kính vuông vức rất đẹp.,The square glass windows are very beautiful.,5
264,方案,fāng àn,phương án,plan,我们需要一个详细的方案。,Wǒmen xūyào yīgè xiángxì de fāng'àn.,Chúng ta cần một phương án chi tiết.,We need a detailed plan.,5
265,方式,fāng shì,phương thức,method,这种方式更有效。,Zhè zhǒng fāngshì gèng yǒuxiào.,Cách này hiệu quả hơn.,This way is more efficient.,5
266,妨碍,fáng ài,"trở ngại, cản trở","obstacle, hindrance",他的行为妨碍了工作。,Tā de xíngwéi fáng'ài le gōngzuò.,Hành động của anh ấy gây cản trở công việc.,His actions are interfering with the work.,5
267,仿佛,fǎng fú,dường như,seems,她的声音仿佛天使在歌唱。,Tā de shēngyīn fǎngfú tiānshǐ zài gēchàng.,Giọng nói của cô ấy như thiên thần đang hát.,Her voice was like an angel singing.,5
268,非,fēi,"phi, không",no,我非得去那个地方不可。,Wǒ fēiděi qù nàgè dìfāng bùkě.,Tôi phải đến nơi đó.,I have to go there.,5
269,肥皂,féi zào,bánh xà phòng,soap,我们用肥皂洗手。,Wǒmen yòng féizào xǐshǒu.,Chúng tôi rửa tay bằng xà phòng.,We wash our hands with soap.,5
270,废话,fèi huà,lời nói thừa thãi,superfluous words,请不要说废话。,Qǐng bùyào shuō fèihuà.,Xin đừng nói chuyện vô ích.,Please do not talk in vain.,5
271,分别,fēn bié,"phân biệt, lần lượt, xa nhau","separate, in turn, apart",分别的时候总是让人感到悲伤。,分别的时候总是让人感到悲伤。,Chia tay bao giờ cũng buồn.,Parting is always sad.,5
272,分布,fēn bù,phân bố,distribution,这些植物在这个地区分布很广。,Zhèxiē zhíwù zài zhège dìqū fēnbù hěn guǎng.,Các loại cây này phân bố rộng rãi trong khu vực này.,These plants are widely distributed in this area.,5
273,分配,fēn pèi,"chia sẻ, phân chia, phân công","share, divide, assign",我们需要合理分配资源。,Wǒmen xūyào hélǐ fēnpèi zīyuán.,Chúng ta cần phân phối tài nguyên hợp lý.,We need to distribute resources fairly.,5
274,分手,fēn shǒu,chia tay,farewell,他们决定分手。,Tāmen juédìng fēnshǒu.,Họ quyết định chia tay.,They decided to break up.,5
275,分析,fēn xī,phân tích,analysis,他在分析数据。,Tā zài fēnxī shùjù.,Anh ấy đang phân tích dữ liệu.,He is analyzing the data.,5
276,纷纷,fēn fēn,lũ lượt,flock,大家纷纷发表意见。,Dàjiā fēnfēn fābiǎo yìjiàn.,Mọi người đều đưa ra ý kiến.,Everyone has an opinion.,5
277,奋斗,fèn dòu,phấn đấu,strive,我们需要为了未来奋斗。,Wǒmen xūyào wèile wèilái fèndòu.,Chúng ta cần nỗ lực vì tương lai.,We need to work for the future.,5
278,风格,fēng gé,phong cách,style,她的风格很独特。,Tā de fēnggé hěn dútè.,Phong cách của cô ấy rất độc đáo.,Her style is very unique.,5
279,风景,fēng jǐng,phong cảnh,scenery,这个地方的风景很美。,Zhège dìfāng de fēngjǐng hěn měi.,Cảnh vật ở đây rất đẹp.,The scenery here is very beautiful.,5
280,风俗,fēng sú,phong tục,customs,他们的风俗很有趣。,Tāmen de fēngsú hěn yǒuqù.,Phong tục của họ rất thú vị.,Their customs are very interesting.,5
281,风险,fēng xiǎn,"mạo hiểm, hiểm nguy","adventure, danger",这项投资有很高的风险。,Zhè xiàng tóuzī yǒu hěn gāo de fēngxiǎn.,Đầu tư này có rủi ro cao.,This investment is high risk.,5
282,疯狂,fēng kuáng,điên rồ,crazy,他对这部电影感到疯狂。,Tā duì zhè bù diànyǐng gǎndào fēngkuáng.,Anh ấy cảm thấy điên cuồng về bộ phim này.,He feels crazy about this movie.,5
283,讽刺,fěng cì,châm biếm,satire,这部小说有一些讽刺的元素。,Zhè bù xiǎoshuō yǒu yīxiē fèngcì de yuánsù.,Tiểu thuyết này có một số yếu tố châm biếm.,This novel has some satirical elements.,5
284,否定,fǒu dìng,phủ định,negative,他否定了所有的指责。,Tā fǒudìngle suǒyǒu de zhǐzé.,Anh ấy đã phủ nhận tất cả các chỉ trích.,He has denied all the criticism.,5
285,否认,fǒu rèn,phủ nhận,deny,她完全否认了这个事实。,Tā wánquán fǒurènle zhège shìshí.,Cô ấy hoàn toàn phủ nhận thực tế này.,She completely denied this fact.,5
286,扶,fú,vịn,handrail,他在路上扶着我。,Tā zài lù shàng fúzhe wǒ.,Anh ấy hỗ trợ tôi trên đường.,He supported me on the way.,5
287,服装,fú zhuāng,"phục trang, quần áo","costume, clothes",我们需要买新的服装。,Wǒmen xūyào mǎi xīn de fúzhuāng.,Chúng ta cần mua sắm quần áo mới.,We need to buy new clothes.,5
288,幅,fú,bức (lượng từ cho tranh),picture,这幅画儿很漂亮。,Zhè fú huàr hěn piàoliang.,Bức tranh này rất đẹp.,This picture is very beautiful.,5
289,辅导,fǔ dǎo,"phụ đạo, bổ trợ","tutoring, supplementary",她需要额外的辅导。,Tā xūyào éwài de fǔdǎo.,Cô ấy cần thêm sự hướng dẫn.,She needs more guidance.,5
290,妇女,fù nǚ,phụ nữ,women,妇女在社会中扮演重要的角色。,Fùnǚ zài shèhuì zhōng bànyǎn zhòngyào de juésè.,Phụ nữ đóng vai trò quan trọng trong xã hội.,Women play an important role in society.,5
291,复制,fù zhì,copy,copy,请复制这个文件。,Qǐng fùzhì zhège wénjiàn.,Hãy sao chép tài liệu này.,Please copy this document.,5
292,改革,gǎi gé,cải cách,reform,我们需要进行改革。,Wǒmen xūyào jìnxíng gǎigé.,Chúng ta cần thực hiện cải cách.,We need to make reforms.,5
293,改进,gǎi jìn,cải tiến,improve,他希望能改进工作流程。,Tā xīwàng néng gǎijìn gōngzuò liúchéng.,Anh ấy hy vọng có thể cải tiến quy trình làm việc.,He hopes to improve the workflow.,5
294,改善,gǎi shàn,cải thiện,improve,他们正在改善居住条件。,Tāmen zhèngzài gǎishàn jūzhù tiáojiàn.,Họ đang cải thiện điều kiện sống.,They are improving living conditions.,5
295,改正,gǎi zhèng,đính chính,correction,我们需要改正错误。,Wǒmen xūyào gǎizhèng cuòwù.,Chúng ta cần sửa chữa lỗi.,We need to fix the error.,5
296,盖,gài,"đậy, bao phủ",cover,这一片区域都被盖上了高楼大厦。,Zhè yīpiàn qūyù dōu bèi gài shàngle gāolóu dàshà.,Khu vực này được bao phủ bởi các tòa nhà cao tầng.,This area is covered with high-rise buildings.,5
297,概括,gài kuò,khái quát,Overview,文章的概括很简洁。,Wénzhāng de gàikuò hěn jiǎnjié.,Tóm tắt của bài viết rất ngắn gọn.,The summary of the article is very brief.,5
298,概念,gài niàn,khái niệm,concept,这个概念很重要。,Zhège gàiniàn hěn zhòngyào.,Khái niệm này rất quan trọng.,This concept is very important.,5
299,干脆,gān cuì,dứt khoát,definitely,他的发言非常干脆，没有一句多余的话。,"Tā de fǎ yán fēicháng gāncuì, méiyǒu yījù duōyú dehuà.","Bài phát biểu của anh ấy rất ngắn gọn dứt khoát, không có bất kỳ từ nào dư thừa.","His speech was very concise and decisive, without any superfluous words.",5
300,干燥,gān zào,"khô ráo, khô hanh",dry,干燥的空气使得火势很容易蔓延。,Gānzào de kōngqì shǐdé huǒshì hěn róngyì mànyán.,Không khí khô khiến lửa dễ lan rộng.,Dry air makes fires spread easily.,5
301,赶紧,gǎn jǐn,mau chóng,quick,赶紧做完作业吧。,Gǎnjǐn zuò wán zuòyè ba.,Hãy nhanh chóng làm xong bài tập.,Please finish your homework quickly.,5
302,赶快,gǎn kuài,mau chóng,quick,他赶快去看医生。,Tā gǎnkuài qù kàn yīshēng.,Anh ấy nhanh chóng đi gặp bác sĩ.,He quickly went to see a doctor.,5
303,感激,gǎn jī,"cảm kích, biết ơn",grateful,我非常感激你的帮助。,Wǒ fēicháng gǎnjī nǐ de bāngzhù.,Tôi rất cảm kích sự giúp đỡ của bạn.,I really appreciate your help.,5
304,感受,gǎn shòu,cảm nhận,feel,我能感受你的情绪。,Wǒ néng gǎnshòu nǐ de qíngxù.,Tôi có thể cảm nhận được cảm xúc của bạn.,I can feel your emotions.,5
305,感想,gǎn xiǎng,"cảm tưởng, suy nghĩ","feeling, thinking",他的感想很有趣。,Tā de gǎnxiǎng hěn yǒuqù.,Những cảm nghĩ của anh ấy rất thú vị.,His thoughts are very interesting.,5
306,干活儿,gàn huó ér,lao động,labor,我们一起干活儿吧。,Wǒmen yīqǐ gàn huór ba.,Chúng ta cùng làm việc nhé.,Let's work together.,5
307,钢铁,gāng tiě,sắt thép,iron and steel,钢铁是工业化进程中不可或缺的力量。,Gāngtiě shì gōngyèhuà jìnchéng zhōng bùkě huò quē de lìliàng。,Sắt thép là lực lượng không thể thiếu trong quá trình công nghiệp hóa.,Iron and steel are indispensable forces in the industrialization process.,5
308,高档,gāo dàng,"cao cấp, đẳng cấp","high class, classy",这件礼服的设计显示出一种高档次的感觉。,Zhè jiàn lǐfú de shèjì xiǎnshì chū yī zhǒng gāo dàngcì de gǎnjué,Thiết kế của chiếc váy này mang lại cảm giác cao cấp.,The design of this dress gives a high-end feel.,5
309,高级,gāo jí,cao cấp,high-class,HSK6 级是高级水平。,HSK6 jí shì gāojí shuǐpíng.,HSK6 là trình độ nâng cao.,HSK6 is advanced level.,5
310,搞,gǎo,làm,do,我们要搞好这个项目。,Wǒmen yào gǎo hǎo zhège xiàngmù.,Chúng ta phải làm tốt dự án này.,We must do this project well.,5
311,告别,gào bié,từ biệt,goodbye,我们要告别这座城市。,Wǒmen yào gàobié zhè zuò chéngshì.,Chúng ta phải nói lời tạm biệt với thành phố này.,We have to say goodbye to this city.,5
312,格外,gé wài,đặc biệt,special,这个地方格外安静。,Zhège dìfāng géwài ānjìng.,Nơi này đặc biệt yên tĩnh.,This place is especially quiet.,5
313,隔壁,gé bì,"sát vách, ngay cạnh",next door,我们住在隔壁的房子。,Wǒmen zhù zài gébì de fángzi.,Chúng tôi sống trong ngôi nhà kế bên.,We live in the house next door.,5
314,个别,gè bié,cá biệt,individual,个别情况可能会有所不同。,Gèbié qíngkuàng kěnéng huì yǒu suǒ bùtóng.,Một số trường hợp cụ thể có thể khác nhau.,Some specific cases may vary.,5
315,个人,gè rén,cá nhân,individual,每个人都有自己的个人喜好和兴趣。,Měi gèrén dōu yǒu zìjǐ de gèrén xǐhào hé xìngqù.,Mỗi người đều có sở thích và mối quan tâm riêng của mình.,Everyone has their own interests and concerns.,5
316,个性,gè xìng,cá tính,personality,他是一个非常有个性的人。,Tā shì yīgè fēicháng yǒu gèxìng de rén.,Anh ấy là một người rất cá tính.,He is a very individual person.,5
317,各自,gè zì,"tự, mỗi","self, each",各自负责自己的任务。,Gèzì fùzé zìjǐ de rènwù.,Mỗi người chịu trách nhiệm về nhiệm vụ của mình.,Each person is responsible for his own duties.,5
318,根,gēn,"lượng từ: sợi, cành, khúc, ngón","quantifier: fiber, branch, piece, finger",你记得帮我买几根葱哦。,Nǐ jìdé bāng wǒ mǎi jǐ gēn cōng ó.,Nhớ mua cho tôi ít hành lá nhé.,Remember to buy me some green onions.,5
319,根本,gēn běn,vốn,capital,这个问题根本解决不了。,Zhège wèntí gēnběn jiějué bùliǎo.,Vấn đề này căn bản không thể giải quyết được.,This problem is fundamentally unsolvable.,5
320,工厂,gōng chǎng,"xưởng, xí nghiệp",factory,工厂正在扩大生产规模。,Gōngchǎng zhèngzài kuòdà shēngchǎn guīmó.,Nhà máy đang mở rộng quy mô sản xuất.,The factory is expanding its production scale.,5
321,工程师,gōng chéng shī,kỹ sư,engineer,他是一名工程师。,Tā shì yī míng gōngchéngshī.,Anh ấy là một kỹ sư.,He is an engineer.,5
322,工具,gōng jù,công cụ,tool,我们需要一些工具来修理。,Wǒmen xūyào yīxiē gōngjù lái xiūlǐ.,Chúng ta cần một số công cụ để sửa chữa.,We need some tools to repair it.,5
323,工人,gōng rén,công nhân,Worker,工人们正在加班。,Gōngrénmen zhèngzài jiābān.,Các công nhân đang làm thêm giờ.,The workers are working overtime.,5
324,工业,gōng yè,công nghiệp,industrial,这个产品是我们工业的代表。,Zhège chǎnpǐn shì wǒmen gōngyè de dàibiǎo.,Sản phẩm này đại diện cho ngành công nghiệp của chúng tôi.,This product represents our industry.,5
325,公布,gōng bù,công bố,announce,公司公布了新的政策。,Gōngsī gōngbùle xīn de zhèngcè.,Công ty đã công bố chính sách mới.,The company has announced a new policy.,5
326,公开,gōng kāi,công khai,public,这个信息已经公开了。,Zhège xìnxī yǐjīng gōngkāile.,Thông tin này đã được công khai.,This information has been made public.,5
327,公平,gōng píng,công bằng,fair,我们需要公平对待每个人。,Wǒmen xūyào gōngpíng duìdài měi gè rén.,Chúng ta cần đối xử công bằng với mọi người.,We need to treat everyone fairly.,5
328,公寓,gōng yù,chung cư,apartment,她住在一个公寓里。,Tā zhù zài yīgè gōngyù lǐ.,Cô ấy sống trong một căn hộ.,She lives in an apartment.,5
329,公元,gōng yuán,công nguyên,AD,公元前五世纪的历史很有趣。,Gōngyuán qián wǔ shìjì de lìshǐ hěn yǒuqù.,Lịch sử của thế kỷ thứ năm trước Công nguyên rất thú vị.,The history of the fifth century BC is very interesting.,5
330,公主,gōng zhǔ,công chúa,princess,她是一个美丽的公主。,Tā shì yīgè měilì de gōngzhǔ.,Cô ấy là một công chúa xinh đẹp.,She is a beautiful princess.,5
331,功能,gōng néng,công năng,function,这个软件的功能很强大。,Zhège ruǎnjiàn de gōngnéng hěn qiángdà.,Chức năng của phần mềm này rất mạnh mẽ.,The functionality of this software is very powerful.,5
332,恭喜,gōng xǐ,chúc mừng,congratulations,恭喜你获得了奖项。,Gōngxǐ nǐ huòdéle jiǎngxiàng.,Chúc mừng bạn đã nhận được giải thưởng.,Congratulations on your award.,5
333,贡献,gòng xiàn,cống hiến,dedication,他的贡献很大。,Tā de gòngxiàn hěn dà.,Đóng góp của anh ấy rất lớn.,His contribution is huge.,5
334,沟通,gōu tōng,"trao đổi, thấu hiểu","exchange, understanding",我们需要有效沟通。,Wǒmen xūyào yǒuxiào gōutōng.,Chúng ta cần giao tiếp hiệu quả.,We need to communicate effectively.,5
335,构成,gòu chéng,"tạo thành, cấu thành","form, constitute",这些部分构成了整个项目。,Zhèxiē bùfen gòuchéngle zhěnggè xiàngmù.,Những phần này cấu thành toàn bộ dự án.,These parts make up the entire project.,5
336,姑姑,gū gu,cô,Miss,我去姑姑家玩。,Wǒ qù gūgū jiā wán.,Tôi đến nhà dì chơi.,I went to my aunt's house to play.,5
337,姑娘,gū niang,cô gái,girl,这位姑娘很友好。,Zhè wèi gūniáng hěn yǒuhǎo.,Cô gái này rất thân thiện.,This girl is very friendly.,5
338,古代,gǔ dài,cổ đại,ancient,古代的建筑风格很有特色。,Gǔdài de jiànzhú fēnggé hěn yǒu tèsè.,Phong cách kiến trúc cổ đại rất đặc sắc.,The ancient architectural style is very unique.,5
339,古典,gǔ diǎn,cổ điển,classic,他喜欢古典音乐。,Tā xǐhuān gǔdiǎn yīnyuè.,Anh ấy thích nhạc cổ điển.,He likes classical music.,5
340,股票,gǔ piào,cổ phiếu,share,我们需要研究股票市场。,Wǒmen xūyào yánjiū gǔpiào shìchǎng.,Chúng ta cần nghiên cứu thị trường chứng khoán.,We need to study the stock market.,5
341,骨头,gǔ tou,xương,bone,这个骨头很硬。,Zhège gǔtóu hěn yìng.,Xương này rất cứng.,This bone is very hard.,5
342,鼓舞,gǔ wǔ,cổ vũ,cheer,他的演讲鼓舞了大家。,Tā de yǎnjiǎng gǔwǔle dàjiā.,Bài phát biểu của anh ấy đã khích lệ mọi người.,His speech encouraged everyone.,5
343,鼓掌,gǔ zhǎng,vỗ tay,clap,大家为他鼓掌。,Dàjiā wèi tā gǔzhǎng.,Mọi người vỗ tay cho anh ấy.,Everyone applauded him.,5
344,固定,gù dìng,cố định,permanent,这张桌子是固定的。,Zhè zhāng zhuōzi shì gùdìng de.,Cái bàn này là cố định.,This table is fixed.,5
345,挂号,guà hào,xếp số,numbering,请挂号后再进入。,Qǐng guàhào hòu zài jìnrù.,Xin hãy đăng ký trước khi vào.,Please register before entering.,5
346,乖,guāi,ngoan,good,她的行为很乖。,Tā de xíngwéi hěn guāi.,Hành vi của cô ấy rất ngoan.,Her behavior is very good.,5
347,拐弯,guǎi wān,rẽ,turn,车子在路上拐弯了。,Chēzi zài lù shàng guǎiwānle.,Xe đã rẽ ở trên đường.,The car turned onto the road.,5
348,怪不得,guài bù dé,chẳng trách,no wonder,怪不得她这么高兴。,Guàibùdé tā zhème gāoxìng.,Không ngạc nhiên khi cô ấy vui như vậy.,No wonder she's so happy.,5
349,关闭,guān bì,đóng,close,他们决定关闭公司。,Tāmen juédìng guānbì gōngsī.,Họ quyết định đóng cửa công ty.,They decided to close the company.,5
350,观察,guān chá,quan sát,observe,我们需要观察市场趋势。,Wǒmen xūyào guānchá shìchǎng qūshì.,Chúng ta cần quan sát xu hướng thị trường.,We need to observe market trends.,5
351,观点,guān diǎn,quan điểm,opinion,他有自己独特的观点。,Tā yǒu zìjǐ dútè de guāndiǎn.,Anh ấy có quan điểm riêng biệt của mình.,He has his own distinct point of view.,5
352,观念,guān niàn,quan niệm,conception,这是一个新的观念。,Zhè shì yīgè xīn de guānniàn.,Đây là một khái niệm mới.,This is a new concept.,5
353,官,guān,quan,mandarin,他是一位官员。,Tā shì yī wèi guānyuán.,Anh ấy là một quan chức.,He is an official.,5
354,管子,guǎn zi,cái ống,tube,我们需要买一些管子。,Wǒmen xūyào mǎi yīxiē guǎnzi.,Chúng ta cần mua một số ống.,We need to buy some tubes.,5
355,冠军,guàn jūn,quán quân,champion,他赢得了冠军。,Tā yíngdéle guànjūn.,Anh ấy đã giành được chức vô địch.,He won the championship.,5
356,光滑,guāng huá,bóng mượt,smooth,这条地毯很光滑。,Zhè tiáo dìtǎn hěn guānghuá.,Tấm thảm này rất mượt mà.,This rug is very smooth.,5
357,光临,guāng lín,"đến, có mặt","come, be present",欢迎光临我们的商店。,Huānyíng guānglín wǒmen de shāngdiàn.,Chào mừng bạn đến với cửa hàng của chúng tôi.,Welcome to our store.,5
358,光明,guāng míng,"quang minh, sáng sủa",bright,早晨的阳光照亮了大地，给予我们光明的希望。,"Zǎochén de yángguāng zhào liàngle dàdì, jǐyǔ wǒmen guāngmíng de xīwàng.",Mặt trời buổi sáng chiếu sáng trái đất và mang lại cho chúng ta niềm hy vọng tươi sáng.,The morning sun shines on the earth and brings us bright hope.,5
359,光盘,guāng pán,"đĩa CD, VCD,DVD","CD, VCD, DVD",我们买了一张光盘。,Wǒmen mǎile yī zhāng guāngpán.,Chúng tôi đã mua một đĩa CD.,We bought a CD.,5
360,广场,guǎng chǎng,quảng trường,square,广场上有很多人。,Guǎngchǎng shàng yǒu hěn duō rén.,Có nhiều người ở quảng trường.,There are many people in the square.,5
361,广大,guǎng dà,"quảng đại, rộng lớn","generous, vast",这个地区很广大。,Zhège dìqū hěn guǎngdà.,Khu vực này rất rộng lớn.,This area is very large.,5
362,广泛,guǎng fàn,rộng khắp,widespread,这本书的内容很广泛。,Zhè běn shū de nèiróng hěn guǎngfàn.,Nội dung của cuốn sách này rất rộng rãi.,The content of this book is very extensive.,5
363,归纳,guī nà,tóm tắt,summary,我们需要归纳总结信息。,Wǒmen xūyào guīnà zǒngjié xìnxī.,Chúng ta cần tổng hợp và tóm tắt thông tin.,We need to synthesize and summarize information.,5
364,规矩,guī ju,qui tắc,rule,他遵守了所有的规矩。,Tā zūnshǒule suǒyǒu de guījǔ.,Anh ấy đã tuân theo tất cả các quy tắc.,He followed all the rules.,5
365,规律,guī lǜ,qui luật,rule,这个问题的规律很复杂。,Zhège wèntí de guīlǜ hěn fùzá.,Quy luật của vấn đề này rất phức tạp.,The rules of this matter are complex.,5
366,规模,guī mó,qui mô,scale,公司的规模不断扩大。,Gōngsī de guīmó bùduàn kuòdà.,Quy mô của công ty đang không ngừng mở rộng.,The company's scale is constantly expanding.,5
367,规则,guī zé,nội qui,Rules,我们需要遵守规则。,Wǒmen xūyào zūnshǒu guīzé.,Chúng ta cần tuân thủ các quy tắc.,We need to follow the rules.,5
